Auftragskonto,Buchungstag,Valutadatum,Buchungstext,Verwendungszweck,Glaeubiger ID,Mandatsreferenz,Kundenreferenz (End-to-End),Sammlerreferenz,Lastschrift Ursprungsbetrag,Auslagenersatz Ruecklastschrift,Beguenstigter/Zahlungspflichtiger,Kontonummer/IBAN,BIC (SWIFT-Code),Betrag,Waehrung,Info
DE11,25.01.23,25.01.23,FOLGELASTSCHRIFT,INTERNET GMBH KDNR.9876543213 RGN 00000000001,134,asdfasdfasdf12,qwertz12,asdf12,,,INTERNET GMBH,123123134,456456467,-40,EUR,Umsatz gebucht
DE13,23.01.23,23.01.23,KARTENZAHLUNG,2023-01-21 Debitk.2 2025-12 ,135,asdfasdfasdf13,qwertz13,asdf13,,,LIDL DIENSTLEISTUNG GMBH UND CO KG,123123135,456456468,-45,EUR,Umsatz gebucht
DE14,23.01.23,23.01.23,FOLGELASTSCHRIFT,"1234567895483 PP.1234.PP . DisneyPlus, Ihr Einkauf bei DisneyPlus ",136,asdfasdfasdf14,qwertz14,asdf14,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123136,456456469,"-8,99",EUR,Umsatz gebucht
DE15,23.01.23,23.01.23,FOLGELASTSCHRIFT,"1234567893214 PP.1234.PP . , Ihr Einkauf bei ",137,asdfasdfasdf15,qwertz15,asdf15,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123137,456456470,"-21,85",EUR,Umsatz gebucht
DE16,23.01.23,23.01.23,FOLGELASTSCHRIFT,"1234567896541 PP.1234.PP . , Ihr Einkauf bei ",138,asdfasdfasdf16,qwertz16,asdf16,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123138,456456471,-200,EUR,Umsatz gebucht
DE17,19.01.23,19.01.23,KARTENZAHLUNG,2023-01-12 Debitk.2 2025-12 ,139,asdfasdfasdf17,qwertz17,asdf17,,,SCHLOSS BURGER GMBH,123123139,456456472,"-10,99",EUR,Umsatz gebucht
DE23,17.01.23,17.01.23,FOLGELASTSCHRIFT,"1234567897533 PP.1234.PP . DB Vertrieb GmbH, Ihr Einkauf bei DB Vertrieb GmbH ",140,asdfasdfasdf18,qwertz18,asdf18,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123140,456456473,-10,EUR,Umsatz gebucht
DE25,16.01.23,16.01.23,KARTENZAHLUNG,2023-01-14 Debitk.2 2025-12 ,141,asdfasdfasdf19,qwertz19,asdf19,,,REWE SAGT DANKE,123123141,456456474,"-25,8",EUR,Umsatz gebucht
DE26,16.01.23,16.01.23,KARTENZAHLUNG,2023-01-14 Debitk.2 2025-12 ,142,asdfasdfasdf20,qwertz20,asdf20,,,LIDL DIENSTLEISTUNG GMBH UND CO KG,123123142,456456475,"-139,26",EUR,Umsatz gebucht
DE28,13.01.23,13.01.23,FOLGELASTSCHRIFT,"1234567892135 PP.1234.PP . , Ihr Einkauf bei ",143,asdfasdfasdf21,qwertz21,asdf21,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123143,456456476,"-97,26",EUR,Umsatz gebucht
DE29,13.01.23,13.01.23,FOLGELASTSCHRIFT,"1234567895462 PP.1234.PP . , Ihr Einkauf bei ",144,asdfasdfasdf22,qwertz22,asdf22,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123144,456456477,"-17,5",EUR,Umsatz gebucht
DE30,09.01.23,09.01.23,KARTENZAHLUNG,2023-01-07 Debitk.2 2025-12 ,145,asdfasdfasdf23,qwertz23,asdf23,,,LIDL DIENSTLEISTUNG GMBH UND CO KG,123123145,456456478,"-25,84",EUR,Umsatz gebucht
DE33,03.01.23,03.01.23,KARTENZAHLUNG,2023-01-02 Debitk.2 2025-12 ,146,asdfasdfasdf24,qwertz24,asdf24,,,LIDL DIENSTLEISTUNG GMBH UND CO KG,123123146,456456479,-35,EUR,Umsatz gebucht
DE34,03.01.23,03.01.23,FOLGELASTSCHRIFT,"1234567893215 PP.1234.PP . www.steampowered.com, Ihr Einkauf bei www.steampowered.com ",147,asdfasdfasdf25,qwertz25,asdf25,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123147,456456480,"-25,79",EUR,Umsatz gebucht
DE37,03.01.23,03.01.23,FOLGELASTSCHRIFT,"1234567896545 PP.1234.PP . www.steampowered.com, Ihr Einkauf bei www.steampowered.com ",148,asdfasdfasdf26,qwertz26,asdf26,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123148,456456481,-14,EUR,Umsatz gebucht
DE38,03.01.23,03.01.23,FOLGELASTSCHRIFT,"1234567894562 PP.1234.PP . www.steampowered.com, Ihr Einkauf bei www.steampowered.com ",149,asdfasdfasdf27,qwertz27,asdf27,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123149,456456482,"-9,99",EUR,Umsatz gebucht
DE39,03.01.23,03.01.23,FOLGELASTSCHRIFT,"1234567894561 PP.1234.PP . Ellation Holdings Inc., Ihr Einkauf bei Ellation Holdings Inc. ",150,asdfasdfasdf28,qwertz28,asdf28,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123150,456456483,"-6,99",EUR,Umsatz gebucht
DE40,03.01.23,03.01.23,FOLGELASTSCHRIFT,D00-1234567-4567899 Audible Gmbh AAAAAAAAAAAAAAAA,151,asdfasdfasdf29,qwertz29,asdf29,,,AUDIBLE GMBH,123123151,456456484,"-9,95",EUR,Umsatz gebucht
DE42,03.01.23,03.01.23,FOLGELASTSCHRIFT,"1234567891234 . Nintendo, Ihr Einkauf bei Nintendo ",152,asdfasdfasdf30,qwertz30,asdf30,,,PayPal Europe S.a.r.l. et Cie S.C.A,123123152,456456485,"-8,12",EUR,Umsatz gebucht
DE43,02.01.23,02.01.23,DAUERAUFTRAG,1234/4568.00001.12,153,asdfasdfasdf31,qwertz31,asdf31,,,Wohnen GmbH,123123153,456456486,"-499,2",EUR,Umsatz gebucht
DE44,02.01.23,02.01.23,DAUERAUFTRAG,RF123456789123 ,154,asdfasdfasdf32,qwertz32,asdf32,,,"Rundfunk, ARD, ZDF, DRadio",123123154,456456487,"-17,49",EUR,Umsatz gebucht
DE45,02.01.23,02.01.23,DAUERAUFTRAG,546789123,155,asdfasdfasdf33,qwertz33,asdf33,,,Strom GmbH,123123155,456456488,-48,EUR,Umsatz gebucht
